"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2021年1月29日","5,351.96","5,413.97","5,430.20","5,288.10","182.18K","-0.47%"
"2021年1月28日","5,377.14","5,450.37","5,462.24","5,360.38","170.49K","-2.73%"
"2021年1月27日","5,528.00","5,505.77","5,534.99","5,449.64","160.19K","0.27%"
"2021年1月26日","5,512.97","5,600.90","5,600.90","5,506.00","171.91K","-2.01%"
"2021年1月25日","5,625.92","5,564.12","5,655.48","5,543.27","197.05K","1.01%"
"2021年1月22日","5,569.78","5,562.38","5,573.66","5,513.88","199.30K","0.09%"
"2021年1月21日","5,564.97","5,492.96","5,593.11","5,490.56","209.95K","1.62%"
"2021年1月20日","5,476.43","5,439.91","5,496.05","5,426.54","170.91K","0.72%"
"2021年1月19日","5,437.52","5,525.97","5,532.48","5,415.72","211.04K","-1.47%"
"2021年1月18日","5,518.52","5,438.16","5,541.46","5,410.77","207.05K","1.11%"
"2021年1月15日","5,458.08","5,471.39","5,500.63","5,390.27","238.64K","-0.23%"
"2021年1月14日","5,470.46","5,556.21","5,568.02","5,458.68","243.68K","-1.93%"
"2021年1月13日","5,577.97","5,609.26","5,644.72","5,535.14","261.57K","-0.33%"
"2021年1月12日","5,596.35","5,419.50","5,596.35","5,417.63","224.22K","2.85%"
"2021年1月11日","5,441.16","5,504.24","5,555.69","5,412.50","231.84K","-0.99%"
"2021年1月8日","5,495.43","5,526.29","5,547.47","5,442.69","204.33K","-0.33%"
"2021年1月7日","5,513.66","5,428.39","5,513.66","5,413.35","219.87K","1.77%"
"2021年1月6日","5,417.67","5,386.51","5,433.47","5,341.43","193.77K","0.92%"
"2021年1月5日","5,368.50","5,245.84","5,368.50","5,234.38","224.93K","1.91%"
"2021年1月4日","5,267.72","5,212.93","5,284.43","5,190.94","211.71K","1.08%"
"2020年12月31日","5,211.29","5,122.48","5,215.62","5,122.48","171.60K","1.91%"
"2020年12月30日","5,113.71","5,037.98","5,113.71","5,036.63","148.63K","1.40%"
"2020年12月29日","5,042.94","5,071.45","5,077.42","5,034.31","141.20K","-0.42%"
"2020年12月28日","5,064.41","5,042.94","5,089.34","5,037.86","136.91K","0.44%"
"2020年12月25日","5,042.01","4,985.77","5,042.10","4,973.68","121.01K","0.84%"
"2020年12月24日","5,000.02","5,006.00","5,033.04","4,979.24","114.42K","-0.14%"
"2020年12月23日","5,007.12","4,977.30","5,028.45","4,968.15","140.29K","0.85%"
"2020年12月22日","4,964.77","5,034.98","5,055.13","4,960.95","162.35K","-1.63%"
"2020年12月21日","5,046.84","4,995.76","5,048.51","4,970.00","140.81K","0.94%"
"2020年12月18日","4,999.97","5,014.32","5,027.44","4,979.00","128.05K","-0.35%"
"2020年12月17日","5,017.48","4,960.73","5,021.62","4,950.37","133.39K","1.28%"
"2020年12月16日","4,953.87","4,957.30","4,968.86","4,938.19","106.78K","0.18%"
"2020年12月15日","4,945.10","4,931.60","4,954.19","4,904.79","118.34K","0.21%"
"2020年12月14日","4,934.83","4,903.63","4,937.26","4,887.66","120.80K","0.92%"
"2020年12月11日","4,889.63","4,957.82","4,957.82","4,849.35","159.36K","-1.03%"
"2020年12月10日","4,940.52","4,931.29","4,962.74","4,919.77","125.91K","-0.04%"
"2020年12月9日","4,942.70","5,022.38","5,033.64","4,942.52","138.92K","-1.34%"
